"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season20/21","period2","https://twitter.com/Arendinho/status/1353064953557598209","2021-01-23 19:39:58+00:00","1353064953557598209","Enige doelpoging van #fcgroningen tegen #vitesse kwam van doelman #padt in de 94e minuut. Jammer. #vitgro","Arendinho","0","0","0","Groningen","174","172","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/hennie_rutgers/status/1353064940437868547","2021-01-23 19:39:55+00:00","1353064940437868547","Een volledig terechte overwinning van Vitesse,maar wat maken ze het zelf nog spannend door de kansen die ze krijgen niet af te maken.#Vitesse","hennie_rutgers","0","0","11","Arnhem, Nederland","279","512","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/WarnervdLouw/status/1353064867574337539","2021-01-23 19:39:37+00:00","1353064867574337539","Kantje boord, alweer. Maar Circus Letsch marcheert door!
#grovit #vitesse","WarnervdLouw","0","0","1","Groningen, Nederland","341","330","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/tomteselle/status/1353064823316045825","2021-01-23 19:39:27+00:00","1353064823316045825","ik snapte de wissels van #letsch vandaag echt niet #vitesse #vitgro","tomteselle","0","0","1","amersfoort,the netherlands","505","701","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Ronald_Wester/status/1353064769909997569","2021-01-23 19:39:14+00:00","1353064769909997569","Was onnodig spannend, maar gewoon drie punten en weer de nul #Vitesse #vitgro","Ronald_Wester","0","0","6","Arnhem, Nederland","237","283","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/vitessemijn/status/1353064754739171328","2021-01-23 19:39:10+00:00","1353064754739171328","Afgelopen!

Vitesse 1-0 FC Groningen 

Wat vonden jullie?

#vitessemijnclub #Vitesse #vitgro #eredivisie 

Volgende wedstrijd: https://t.co/Jm5snCU7ZG","vitessemijn","0","0","2","","18","1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353064688293011461","2021-01-23 19:38:55+00:00","1353064688293011461","Weer een overwinning!

Vitesse verslaat @fcgroningen
met 1-0

#Vitesse #vitgro https://t.co/1QfApT7kDV","MijnVitesse","5","9","83","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/tomteselle/status/1353064610513842178","2021-01-23 19:38:36+00:00","1353064610513842178","wat een slechte pot van #vitesse ..vanaf minuut 70 was het achteruit lopen ! #vitgro","tomteselle","0","0","0","amersfoort,the netherlands","505","701","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Kwebie/status/1353064607003238401","2021-01-23 19:38:35+00:00","1353064607003238401","Wat een gigantisch verschil tussen de 2 helften van Vitesse. Eerste helft ons compleet onder controle, tweede helft weinig bijzonder meer? Ik ging zelfs geloven in een punt

Een terechte overwinning over de gehele 90 minuten. Gefeliciteerd Vitesse fans!

#vitgro #fcgroningen","Kwebie","0","0","0","Groningen, Nederland","393","986","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/GDHPostma/status/1353064549683847170","2021-01-23 19:38:22+00:00","1353064549683847170","Het zit erop. Een wedstrijd om snel te vergeten! #vitgro #fcgroningen","GDHPostma","0","0","0","Groningen, the Netherlands","425","523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
